!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021_Public_3.18.24.xlsm
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
                1                4              100             0.15            49.74
                1                5              100             0.37            49.60
                1                6              100             0.48            49.23
                1                7              100             0.86            48.75
                1                8              100             3.95            47.89
                1                9              100             5.33            43.94
                1               10              100            10.19            38.61
                1               11              100            10.95            28.42
                1               12              100             8.74            17.48
                1                1              100             5.83             8.74
                1                2              100             2.38             2.91
                1                3              100             0.53             0.53
                2                4              100             0.51            20.88
                2                5              100             0.78            20.37
                2                6              100             1.01            19.59
                2                7              100             0.99            18.58
                2                8              100             1.95            17.59
                2                9              100             2.50            15.64
                2               10              100             2.85            13.13
                2               11              100             2.64            10.29
                2               12              100             2.38             7.64
                2                1              100             2.17             5.27
                2                2              100             1.84             3.10
                2                3              100             1.25             1.25
                3                4              100             1.22            25.68
                3                5              100             1.22            24.46
                3                6              100             1.22            23.24
                3                7              100             1.22            22.01
                3                8              100             1.22            20.79
                3                9              100             1.22            19.57
                3               10              100             1.43            18.34
                3               11              100             1.86            16.91
                3               12              100             2.61            15.05
                3                1              100             3.77            12.44
                3                2              100             4.21             8.68
                3                3              100             4.46             4.46
                4                4              100             5.69            99.03
                4                5              100             6.86            93.34
                4                6              100             7.21            86.48
                4                7              100             7.63            79.27
                4                8              100             9.38            71.64
                4                9              100             9.03            62.26
                4               10              100             9.53            53.23
                4               11              100             9.82            43.70
                4               12              100             9.38            33.88
                4                1              100             9.57            24.50
                4                2              100             8.14            14.93
                4                3              100             6.79             6.79
                5                4              100             1.06            12.70
                5                5              100             1.06            11.64
                5                6              100             1.06            10.58
                5                7              100             1.06             9.53
                5                8              100             1.06             8.47
                5                9              100             1.06             7.41
                5               10              100             1.06             6.35
                5               11              100             1.06             5.29
                5               12              100             1.06             4.23
                5                1              100             1.06             3.18
                5                2              100             1.06             2.12
                5                3              100             1.06             1.06
                6                4              100             2.67            40.68
                6                5              100             2.21            38.01
                6                6              100             1.50            35.80
                6                7              100             2.37            34.30
                6                8              100             3.79            31.93
                6                9              100             4.64            28.15
                6               10              100             5.70            23.51
