wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3920.15008718
1000.0        3920.15008718
1500.0        3920.15008718
2000.0        3920.15008718
2500.0        3920.15008718
3000.0        3920.15008718
3500.0        3920.15008718
4000.0        3920.15008718
4500.0        3920.15008718
5000.0        3985.72817502
5500.0        4461.06654873
6000.0        4723.33493395
6500.0        5464.77262116
7000.0        6349.18977686
7500.0        6950.95671045
8000.0        7495.64558661
8500.0        8026.01280276
9000.0        8446.93531915
9500.0        8901.24349621
10000.0        9802.40395739
10500.0        10774.7013645
11000.0        11277.2085103
11500.0        11579.2829
12000.0        11943.4854514
12500.0        12135.5546797
13000.0        12135.5546797
13500.0        12191.1662718
14000.0        12282.9322226
14500.0        12282.9322226
15000.0        12282.9322226
15500.0        12282.9322226
16000.0        12282.9322226
16500.0        12282.9322226
17000.0        12282.9322226
17500.0        12282.9322226
18000.0        12282.9322226
18500.0        12282.9322226
19000.0        12282.9322226
19500.0        12282.9322226
20000.0        12282.9322226
