wsi_di_SWP
wsi                   di
0.0        0.0
500.0        462.247775864
1000.0        462.247775864
1500.0        475.177537042
2000.0        588.056561294
2500.0        1222.83387166
3000.0        2028.11286445
3500.0        2783.08160813
4000.0        3596.13109996
4500.0        4606.27298626
5000.0        5402.46853468
5500.0        6485.14563077
6000.0        7252.25712558
6500.0        7726.28672408
7000.0        8007.95633518
7500.0        8007.95633518
8000.0        8241.91264804
8500.0        8241.91264804
9000.0        8241.91264804
9500.0        8241.91264804
10000.0        8241.91264804
10500.0        8241.91264804
11000.0        8241.91264804
11500.0        8241.91264804
12000.0        8241.91264804
12500.0        8241.91264804
13000.0        8241.91264804
13500.0        8241.91264804
14000.0        8241.91264804
14500.0        8241.91264804
15000.0        8241.91264804
15500.0        8241.91264804
16000.0        8241.91264804
16500.0        8241.91264804
17000.0        8241.91264804
17500.0        8241.91264804
18000.0        8241.91264804
18500.0        8241.91264804
19000.0        8241.91264804
19500.0        8241.91264804
20000.0        8241.91264804
